Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
1.8999924,-94.2346347936184401,37.9453951781330545,-1138.02401993581475,137.795749915782665,28.0761974551546842,1133.86187333483849,0,0,0,13.5244906892516781,37.9453951781330545,-1138.02401993581475,-0.989210779654220551,-38.1044563227539541,-113.792323234709841,-121.435528077244612,0,0,0,48.8315279480436644,3.93585576229747858,-114.30339762410523
1.9499922,-94.3686438139543498,38.2668938035364974,-1138.61284480198924,138.058567651624713,28.2310564910308024,1134.43900047209081,0,0,0,13.3930623104774469,38.2668938035364974,-1138.61284480198924,-0.989711568006998998,-39.8478838038985472,-114.963706512596488,-121.576696569303579,0,0,0,47.0882739673826123,3.70913141770463994,-114.291801693665974
1.999992,-94.4837253982307743,38.5110373402058315,-1139.21928250939368,138.293591477761112,28.3300410468933954,1135.03442209204741,0,0,0,13.279332584449179,38.5110373402058315,-1139.21928250939368,-0.990228728744700804,-41.5830838068159068,-116.140960401179456,-121.351130007268154,0,0,0,45.3527163996950691,3.48735533880687854,-113.917627170176203
2.0499918,-94.5804481638447214,38.6782580372816795,-1139.84056518527927,138.500630964458679,28.3737806197680591,1135.64540533449849,0,0,0,13.1826860603989928,38.6782580372816795,-1139.84056518527927,-0.990759855313235849,-43.3081682235312257,-117.320014139810127,-120.767494393010423,0,0,0,43.6267315628238492,3.27131274013687801,-113.189529328954592
2.0999916,-94.6594115146270809,38.769390690588196,-1140.4740793766357,138.679657451794071,28.3631759930252763,1136.26936878076663,0,0,0,13.1024857532864019,38.769390690588196,-1140.4740793766357,-0.991302673567592385,-45.0210572353369471,-118.497000885281224,-119.836035588156221,0,0,0,41.912391752073141,3.06161202753182238,-112.117724458860579
2.1499914,-94.7212412318181123,38.7856547195876971,-1141.11736251187085,138.830797840779951,28.2993844853930199,1136.90387895688536,0,0,0,13.0380773911823837,38.7856547195876971,-1141.11736251187085,-0.991855039077601641,-46.7194901818831241,-119.668240487908861,-118.568471630582877,0,0,0,40.2119542195790771,2.85871789475179128,-110.713885862621709
2.1999912,-94.7665863143773208,38.7286346624737448,-1141.76809792308768,138.954327737583128,28.1838045003129984,1137.54664538483416,0,0,0,12.9887922838219509,38.7286346624737448,-1141.76809792308768,-0.992414932928257332,-48.4010416366896408,-120.830224804425001,-116.977881845464267,0,0,0,38.5278448919071792,2.66298104643041711,-108.991035882215144
2.249991,-94.79611690284041,38.6002592703569292,-1142.42410977170925,139.050664116688608,28.0180594828135696,1138.19551551339532,0,0,0,12.953948991075336,38.6002592703569292,-1142.42410977170925,-0.992980457252831461,-50.0631414625007949,-121.979605971401071,-115.078593413709555,0,0,0,36.8626380592903615,2.47466408615031241,-106.963434698963709
2.2999908,-94.810523124674063,38.402779387000777,-1143.08335875528655,139.120357632227154,27.8039813940637011,1138.84847040069712,0,0,0,12.9328539676986907,38.402779387000777,-1143.08335875528655,-0.99354983131728869,-51.7030983598282816,-123.113187683573955,-112.886066064975324,0,0,0,35.2190325304804972,2.29396349430049895,-104.646466672599189
2.3499906,-94.8105147031035642,38.1387447992674495,-1143.74393909321043,139.164084675826558,27.54359381101591,1139.5036216449239,0,0,0,12.9248013575406873,38.1387447992674495,-1143.74393909321043,-0.994121388643559589,-53.318126439025221,-124.227919271076047,-110.416775542109136,0,0,0,33.5998247303855635,2.12102787709309837,-102.056524964050993
2.3999904,-94.796821175788466,37.8109802408394984,-1144.40407699975663,139.182639255252923,27.239094755084345,1140.15920977394126,0,0,0,12.9290721068551022,37.8109802408394984,-1144.40407699975663,-0.994693575387134321,-54.9053743209044711,-125.320892230025976,-107.688096460268866,0,0,0,32.0078792433367028,1.95597281406929824,-99.2108951577474585
2.4499902,-94.7701925740829552,37.4225607276352008,-1145.062130637672,139.176924749269517,26.8928393492946221,1140.81360409205172,0,0,0,12.9449325621293099,37.4225607276352008,-1145.062130637672,-0.995264949998994952,-56.4619562018646093,-126.38933879588491,-104.718185155979924,0,0,0,30.4460973737355971,1.79889270218011177,-96.1276385623312422
