Time,/fdm/jsbsim/atmosphere/wind-north-fps,/fdm/jsbsim/atmosphere/wind-east-fps,/fdm/jsbsim/atmosphere/wind-down-fps,/fdm/jsbsim/atmosphere/wind-mag-fps,/fdm/jsbsim/atmosphere/psiw-rad,/fdm/jsbsim/atmosphere/wind-x-fps,/fdm/jsbsim/atmosphere/wind-y-fps,/fdm/jsbsim/atmosphere/wind-z-fps,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-mag-kts,/fdm/jsbsim/atmosphere/psiw-deg,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts
80.5996776,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92429869534847001e-13,-5.37278598394246196e-14,2.85929108113935063e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.732600188214843e-13,-3.1832897309101657e-14,1.69408421691776691e-14
80.6496774,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92437374259002997e-13,-5.37401727025912602e-14,2.84928419459389328e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73264465250471146e-13,-3.18401924835220777e-14,1.68815529674976821e-14
80.6996772,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92444575859841049e-13,-5.37528032000072243e-14,2.8394933809744743e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.7326873208374207e-13,-3.18476758511530796e-14,1.68235439633328053e-14
80.749677,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92451472386097121e-13,-5.37657431490642395e-14,2.82992443466873383e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73272818165204374e-13,-3.18553425639301762e-14,1.67668494875027014e-14
80.7996768,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.9245806212755056e-13,-5.37789841145945536e-14,2.82058297513254649e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73276722481579657e-13,-3.18631876241514403e-14,1.67115028343843167e-14
80.8496766,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92464343601021542e-13,-5.37925174147830561e-14,2.81147445295999992e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73280444154107641e-13,-3.18712058879803234e-14,1.66575362978755254e-14
80.8996764,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.9247031553847657e-13,-5.38063341282328842e-14,2.8026041537571559e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73283982431498759e-13,-3.18793920696319328e-14,1.66049811943465487e-14
80.9496762,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92475976876982549e-13,-5.38204251019687638e-14,2.79397720008409782e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73287336683982125e-13,-3.18877407461148616e-14,1.65538678741462676e-14
80.999676,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92481326750205517e-13,-5.38347809601828833e-14,2.7855985517828068e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73290506398268769e-13,-3.18962463624129952e-14,1.65042257235448462e-14
81.0496758,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92486364481143681e-13,-5.38493921135618927e-14,2.7774730050249381e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73293491173245942e-13,-3.1904903237011608e-14,1.64560831590919532e-14
